Depth (m),Year,CO2 (ppmv),sigma mean CO2 (ppmv)
2950.53,562654.67,234.07,0.94
2951.82,563135.78,240.11,2.13
2952.92,563536.65,242.29,0.51
2954.02,563928.77,245.69,1.77
2955.12,564311.43,245.81,0.49
2956.22,564725.3,247.62,1.51
2957.32,565135.22,251.41,1.74
2958.42,565539.88,252.36,1.68
2959.52,565896.45,252.65,1.02
2960.62,566246.08,251.39,0.71
2961.72,566589.42,253.72,0.83
2962.82,566919.1,254.32,1.62
2963.92,567240.2,253.88,0.65
2965.01,567548.65,254.46,1.59
2966.12,567884.13,253.19,0.94
2967.19,568204.87,253.93,1.22
2968.32,568534.97,252.79,1.14
2969.42,568931.05,252.98,0.63
2970.52,569315.43,250.19,0.42
2971.62,569684.77,251.32,1.31
2972.71,570066.37,250.02,1.31
2973.82,570462.55,251.35,1.25
2974.92,570863.03,251.8,1.2
2976.02,571262.35,251.81,1.27
2977.12,571634.13,249.57,0.46
2978.22,571975.47,251.56,1.74
2979.32,572315.5,250.3,1.04
2980.41,572669.87,246.31,1.15
2981.52,573053.52,247.66,0.68
2982.62,573475.75,249.19,1.08
2983.72,573913.02,248.72,0.39
2984.82,574364.65,251.77,1.78
2985.92,574806,251.86,0.7
2987.02,575233.96,252.08,1.3
2988.12,575654.53,248.86,0.98
2989.22,576112.85,252.54,0.52
2990.32,576599.1,252.9,1.06
2991.42,577115.1,251.3,1.06
2992.52,577653.85,251.34,1.13
2993.62,578196.35,251.08,0.6
2994.72,578742.35,249.06,0.48
2995.82,579280.55,252.92,1.07
2996.92,579833.12,251.47,1.8
2997.65,580210.5,244.14,1.67
2998.02,580401.78,243.81,0.87
2998.66,580814,236.17,0.3
2999.12,581118.65,230.26,0.57
2999.76,581546.53,225.21,1.57
3000.22,581928.3,219.41,0.81
3000.86,582454.53,215.45,1.07
3001.32,582836.3,209.88,1.18
3002.05,583574.25,206.68,0.51
3002.42,583958.8,210.64,0.64
3005.26,586720.84,223.96,0.87
3005.72,587171.85,225.99,1.45
3006.45,587888.67,234.4,0.5
3006.82,588279.35,238.78,0.98
3007.46,588940.9,246.35,1.8
3007.92,589425.35,250.2,0.4
3008.56,590040.15,248.1,0.56
3009.02,590488.8,243.56,0.76
3009.57,591019.47,237.38,0.75
3010.85,592383.47,225.68,1.13
3011.22,592785.52,229.39,1.25
3011.87,593561.25,233.16,0.28
3012.28,594046.75,238.15,0.89
3012.96,594863.81,237.98,1.05
3013.42,595436.47,232.92,0.6
3014.06,596221.56,221.22,1.77
3014.52,596791.13,216.44,0.91
3015.25,597803.61,216.27,1.48
3015.62,598329.75,219.02,1
3016.26,599218.22,225.97,1.14
3016.72,599814.63,229.38,1.39
3017.82,601255.15,232.45,1.3
3018.92,602600.75,237.86,0.79
3020.02,603949.15,239.14,1.09
3021.12,605303.15,244.53,0.7
3022.19,606625.91,248.48,1.68
3023.32,607979.3,254.58,1.22
3024.42,609247.3,259.22,1.82
3025.52,610429.5,257.74,0.46
3026.58,611551.01,257.82,2.11
3026.62,611600.63,259.68,1.16
3027.72,612761.97,258.14,1.41
3028.82,613942.8,256.19,0.39
3029.92,615140.6,252.75,1.06
3030.97,616299.12,252.9,0.62
3031.02,616356.6,252.73,0.94
3032.09,617609.57,252.64,1.06
3033.22,618953.75,248.29,1
3034.32,620283.75,245.89,0.29
3035.42,621651.45,243.53,0.81
3036.44,622950.73,243.89,2.84
3036.52,623054.95,239.19,0.83
3037.62,624496.95,237.93,1.02
3038.26,625397.92,235.02,0.35
3038.72,626047.5,228.51,0.88
3039.36,626969.43,215.71,0.48
3039.82,627830.1,205.76,0.94
3040.53,629139.62,199.52,0.77
3040.87,629769.85,205.27,0.87
3040.92,629866.1,200.78,0.5
3041.65,631526.32,200.46,1.81
3042.01,632356.94,196.5,1.51
3042.74,634077.54,193.1,1.55
3043.07,634881.14,195.95,1.53
3043.12,635009.03,194.86,1.76
3043.74,636521.56,194,0.66
3044.22,637714.37,195.33,1.85
3044.93,639418.27,188.85,0.96
3045.32,640372.25,190.18,0.5
3046.05,642074.6,191.38,1.05
3046.42,642856.65,191.56,1.13
3047.12,644300.83,195.31,1.25
3047.52,645150.65,195.82,0.95
3048.16,646376.95,189.89,2.02
3048.62,647254.85,191.85,1
3049.36,648612.42,193.48,0.74
3049.72,649191.1,196.17,0.44
3050.45,650348.46,189.25,1.22
3050.82,650947.1,193.44,0.71
3051.55,652104.26,187.27,0.54
3051.92,652708.95,186.79,0.97
3052.56,653730.25,192.87,1.85
3053.02,654438.65,194.82,0.98
3053.73,655524.35,200,0.53
3054.12,656132.65,200.35,0.75
3054.85,657181.09,192.93,0.65
3055.18,657654.21,189.23,1.78
3055.22,657722,190.88,0.87
3055.93,658764.1,184.1,0.29
3056.25,659293.82,187.38,1.06
3056.32,659411.9,185.68,0.41
3056.96,660463.55,188.43,0.95
3057.36,661118.32,193.97,0.99
3057.42,661215.9,191.59,0.77
3058.13,662282.18,189.69,1.52
3058.47,662796.61,193.91,2.12
3058.52,662877.55,190.86,1.02
3059.25,663937.52,191.02,1.2
3059.55,664320.4,192.55,1.3
3059.61,664408.09,187.77,0.83
3060.33,665321.94,180.17,1.12
3060.73,665836.52,180.54,1.12
3061.36,666753.36,174.77,1.04
3061.82,667409.86,173.71,1.38
3062.53,668415.26,177.71,0.68
3062.93,668915.54,180.67,0.71
3063.64,669819.3,187.66,0.18
3064.02,670296.32,191.51,0.92
3064.76,671070.75,194.88,0.97
3065.12,671457.93,196.83,0.69
3065.76,672150.88,194.79,0.58
3066.22,672761.38,197.13,0.99
3066.93,673696.11,201.12,1
3067.33,674229.38,204.67,0.73
3068.07,675028.4,211.69,0.58
3068.42,675406.53,216.12,0.81
3069.52,676530.74,222.57,0.76
3070.16,677152.31,219.96,0.61
3070.62,677600.74,216.59,0.93
3071.33,678328.18,218.21,1.38
3071.72,678741.62,220.09,1.52
3072.44,679455.37,229.16,0.81
3072.8,679735.17,232.7,0.9
3073.53,680312.58,233.61,0.55
3073.93,680627.61,233.11,1.16
3074.56,681225.67,225.81,1.21
3075.02,681669.93,227.9,1.32
3075.73,682343.71,221.31,0.89
3076.13,682740.09,219.14,0.95
3076.85,683457.86,220.24,1.68
3077.23,683828.75,222.7,0.6
3077.93,684423.68,225.64,1.65
3078.32,684758.06,224.36,1.29
3078.96,685294.84,221.82,0.77
3079.43,685679.87,220.62,0.7
3080.14,686269.11,220.63,1.39
3080.52,686581.81,222.62,1.05
3081.25,687154.04,222.7,1.05
3081.63,687445.5,222.97,1.24
3082.34,688000.38,226.73,1
3082.72,688300.13,227.65,1.34
3083.37,688809.87,227.64,1.14
3083.82,689157.83,230.67,1.66
3084.56,689693.26,232.07,1.29
3084.92,689951.45,232.27,1.49
3085.65,690474.65,235.8,0.99
3086.03,690736.39,236.45,0.53
3086.73,691221.83,239.29,1.05
3087.08,691467.67,238.42,1.24
3087.76,691967.96,239.38,1.95
3088.23,692318.34,243.56,0.56
3088.93,692832.46,239.3,1.27
3089.3,693077.09,238.47,2.15
3090.05,693574.04,243.7,2.1
3090.42,693821.29,237.76,0.84
3091.13,694280.35,239.34,0.99
3091.52,694536.82,240.46,0.71
3092.16,694949.14,239.31,0.91
3092.62,695259.26,239.8,1.42
3093.33,695732.31,236.8,0.57
3093.7,695981.88,238.74,1.46
3094.45,696434.89,238.05,1.52
3094.8,696644.83,238.13,1.28
3095.53,697090.29,239.44,0.96
3095.92,697342.45,238.42,1.11
3096.56,697746.68,239.88,1.27
3097.02,698039,241.03,0.79
3097.74,698505.54,240.9,1.92
3098.13,698753.23,241.83,0.73
3098.85,699215.75,238.86,1.02
3099.22,699439.02,239.01,0.65
3099.93,699864.71,239.73,0.8
3100.32,700103.69,237.21,0.55
3100.92,700485.02,236.72,0.65
3101.43,700814.84,236.61,0.48
3102.13,701268.53,235.42,0.97
3102.52,701524.52,232.46,0.54
3103.25,701993.15,230.88,1.02
3103.57,702200.92,232.16,0.75
3104.33,702734.27,232.18,1.62
3104.71,703009.98,230.59,0.26
3105.36,703468.52,233.35,1.26
3105.82,703796.07,232.28,1.12
3106.46,704250.52,232.83,0.52
3106.92,704581.81,233.54,1.36
3107.64,705053.34,234.04,0.46
3107.93,705243.91,235.09,1.68
3108.65,705726.95,237.18,1.33
3109.12,706053.2,237.66,1.57
3109.75,706492.95,236.05,1.75
3110.07,706710.74,236.05,0.93
3110.88,707310.7,238.85,0.8
3111.32,707643.73,233.51,1.46
3112.05,708199.68,233.58,1
3112.31,708413.45,233.11,1.01
3112.98,708959.15,234.84,1.15
3113.58,709453.79,231.43,0.86
3114.08,709909.55,230.51,0.99
3114.68,710456.45,227.03,0.73
3115.25,710983.36,224.9,0.62
3115.72,711399.04,225.39,0.29
3116.42,712021.47,224.12,1.49
3116.68,712243.73,224,1.45
3117.81,713312.5,223.89,0.47
3118.6,714065.58,227.64,1.61
3118.95,714403.8,227.08,2.01
3119.67,715115.73,223.14,0.59
3120.12,715565.38,227.58,0.55
3120.85,716310.16,213.6,0.66
3121.13,716585.91,210.51,1.65
3121.86,717348.27,198.43,1.17
3122.32,717955.48,189.88,1.13
3122.95,718778.35,193.46,1.64
3123.35,719287.18,200.82,0.75
3124.06,720087.29,212.03,0.84
3124.52,720590.76,217.04,0.9
3125.27,721407.52,219.2,1.18
3125.53,721689.86,218.96,1.27
3126.27,722505.81,216.1,2.02
3126.72,722994.59,212.11,0.69
3127.41,723780.23,212.55,1.77
3127.73,724142,214.01,1.19
3128.45,724975.36,210.48,0.37
3128.91,725474.43,211.49,1.28
3129.62,726249.59,211.08,1.07
3129.93,726576.86,211.43,0.77
3131.12,727898.5,210.07,1.62
3131.75,728593.9,210.24,0.83
3132.13,728987.53,211.08,0.78
3132.92,729836.94,210.01,1.01
3133.32,730260.31,212.17,1.72
3134.02,730908.31,210.16,0.69
3134.33,731184.23,210.7,0.34
3135.06,731861,211.62,0.36
3135.52,732321.75,213.73,1.89
3136.19,732993.5,208.11,1.24
3136.53,733329,207.72,0.81
3137.25,734022.23,210.6,1.03
3137.72,734462.62,216.15,1.81
3138.44,735134.57,214.66,0.71
3138.73,735409.91,217.88,0.83
3139.46,736107.31,217.19,1.38
3139.89,736522.22,213.14,1.66
3140.54,737269.82,206.92,1.56
3140.88,737660.12,204.52,1.49
3141.66,738580.99,191.74,0.93
3142.12,739174.56,185.61,0.33
3142.85,740106.45,185.4,2.38
3143.13,740460.92,183.39,2.4
3143.86,741329.9,184.77,2.07
3144.32,741874.13,189.14,1.31
3144.98,742644.75,188.65,2.71
3145.32,743062.17,187.33,0.72
3146.06,743959.08,188.18,0.91
3146.52,744523.14,188.97,0.9
3147.48,745671.05,187.29,1.24
3148.26,746619.93,190.24,0.42
3148.72,747177.04,187.92,0.32
3149.35,747940.2,187.95,1.27
3149.68,748336.88,187.54,0.84
3150.45,749262.93,188.68,1.26
3150.91,749814.18,190.17,1.76
3151.65,750706.44,192.08,1.57
3151.91,751036.25,191.3,1.38
3152.65,751973.87,193.55,1.88
3153.12,752565.88,197.5,1.3
3153.78,753489.07,195.43,0.34
3154.1,753934.65,203.9,1.84
3154.96,755114.58,199.05,1.7
3155.32,755586.83,203.3,1.53
3156.08,756566.17,208.1,1.96
3156.3,756850.68,209.45,1.36
3157.05,757785.45,213.61,2.15
3157.52,758362.42,218.35,2.34
3158.15,759135.69,222.72,1.5
3158.53,759561.88,226.94,1.42
3158.8,759878.21,223.02,0.68
3159,760108.27,225.37,1.75
3159.35,760516.06,225.62,2.33
3159.72,760939.94,222.71,1.23
3160.47,761864.49,216.64,0.75
3160.71,762166.04,214.69,1.12
3161.46,763101.8,214,1.86
3161.92,763770.58,219.95,0.23
3162.55,764676.88,223.89,2.06
3162.91,765181.82,222.93,0.92
3163.2,765586.64,233.66,3.05
3163.4,765851.48,229.41,2.67
3163.65,766188.5,232.12,1.38
3164.12,766808.91,230.62,0.89
3164.84,767747.16,224.86,1.56
3165.13,768117.26,223.82,0.51
3165.86,769061.38,221.64,0.41
3166.32,769651.42,225.87,0.95
3166.97,770599.15,230.63,2.11
3167.26,771020.67,229.56,1.8
3167.6,771519.33,236.32,1.64
3167.8,771812.67,234.24,1.61
3168.05,772175.26,239.71,1.87
3168.29,772474.56,243.89,1.1
3168.5,772737.96,246.49,2.17
3168.7,772995.64,243.85,2.09
3168.9,773249.82,246.03,2.45
3169.24,773684.47,237.78,1.51
3169.53,774044.14,239.23,1
3170.25,774958.81,238.39,2.26
3170.72,775538.01,241.74,0.87
3171.35,776332.26,245.32,0.36
3171.73,776782.7,248.92,0.63
3172.46,777681.75,247.3,2.01
3172.92,778232.79,252.46,0.67
3173.65,779057.98,254.93,0.48
3173.93,779367.55,254.69,1.13
3174.65,780188.92,254.43,2.36
3175.11,780719.44,252.52,0.93
3175.84,781562.83,257.21,0.6
3176.13,781886.68,251.51,0.7
3176.89,782728.45,257.44,0.65
3177.32,783198.53,255.02,1.06
3178.31,784261.76,260.92,2.51
3179.05,785034.08,255.85,0.66
3179.52,785519.05,259.66,0.24
3180.15,786189.6,262.23,2.57
3180.51,786563.26,264.35,1.38
3181.26,787355.51,269.36,1.26
3181.73,787803.57,266,0.73
3182.43,788479.24,257.2,1.52
3182.65,788691.87,257.02,2.69
3183.46,789494.04,238.64,0.78
3183.91,789953.01,235.49,2.99
3184.57,790639.41,227.38,0.84
3184.9,791056.88,230.55,1.77
3185.66,792030.78,224.69,3.67
3186.12,792617.3,214.45,2.53
3186.75,793519.39,213.36,1.6
3186.98,793852.76,218.39,1.93
3187.87,795122.45,208.79,1.67
3188.23,795687.32,204.62,1.99
3188.98,796852.59,198.79,2.1
3189.33,797378.82,197.91,1.42
3190.08,798681.3,200.49,2.19
3191.48,801236.06,198.68,1.74
3192.3,802872.09,198.66,0.98
3192.73,803709.25,202.65,1.04
3193.41,803925.28,202.92,2.06
3193.75,804009.87,207.5,0.92
3195.79,804522.67,204.86,1.64
3198.21,805132.44,202.23,0.69
3200.34,805668.87,207.29,2.2
